league,season,team,player,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
ENG-Premier League,2425,Brentford,Rico Henry,ENG,DF,27,1997,1.1,2,2,1,0,1,0,4,0.0,4,4,1,3,1,3,2,0
ENG-Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,21,2003,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Brentford,Sepp van den Berg,NED,DF,22,2001,28.7,39,24,25,10,4,19,29,65.5,10,52,38,14,21,60,134,3
ENG-Premier League,2425,Brentford,Thiago,BRA,"FW,MF",23,2001,1.9,5,3,2,1,2,0,1,0.0,1,3,0,3,2,7,3,1
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,26,1998,25.0,38,22,14,13,11,21,36,58.3,15,33,9,24,27,65,53,1
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,20,2004,16.1,49,28,21,21,7,28,55,50.9,27,26,9,17,13,62,33,0
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,27,1996,32.4,22,12,6,8,8,11,27,40.7,16,29,8,21,8,30,21,3
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,"FW,MF",18,2006,0.5,4,4,0,4,0,1,2,50.0,1,2,0,2,0,4,0,0
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,29,1995,9.9,10,6,5,4,1,6,14,42.9,8,16,9,7,20,30,41,2
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,21,2002,36.0,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,29,5
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23,2001,1.1,3,3,2,1,0,3,4,75.0,1,1,0,1,0,3,1,0
ENG-Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20,2004,7.6,16,8,6,6,4,7,14,50.0,7,8,0,8,2,18,5,1
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,20,2004,29.6,79,46,26,37,16,48,80,60.0,32,47,11,36,46,125,44,1
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,33,1990,23.5,26,16,6,15,5,8,20,40.0,12,19,4,15,5,31,14,0
ENG-Premier League,2425,Brighton,Diego Gómez,PAR,MF,21,2003,5.7,21,13,11,8,2,12,22,54.5,10,13,0,13,8,29,10,1
ENG-Premier League,2425,Brighton,Eiran Cashin,IRL,DF,22,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
ENG-Premier League,2425,Brighton,Evan Ferguson,IRL,FW,19,2004,2.7,4,3,0,3,1,2,5,40.0,3,3,1,2,0,4,4,0
