league,season,team,player,nation,pos,age,born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
ENG-Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,23,2000,9.6,413,346,66,5,0,1,28,60,1,1,0,0,335,1,6
ENG-Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20,2004,20.4,557,510,45,9,4,4,91,20,16,7,6,0,348,2,36
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,20,2003,21.8,973,880,92,34,10,1,69,3,37,27,6,1,793,1,14
ENG-Premier League,2425,Chelsea,Axel Disasi,FRA,DF,26,1998,4.0,293,266,27,10,0,1,0,17,0,0,0,0,266,0,2
ENG-Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,23,2001,3.7,304,288,15,5,0,1,0,0,0,0,0,0,273,1,0
ENG-Premier League,2425,Chelsea,Christopher Nkunku,FRA,FW,26,1997,10.2,334,327,7,1,2,1,4,0,2,0,0,0,299,0,3
ENG-Premier League,2425,Chelsea,Cole Palmer,ENG,"MF,FW",22,2002,35.5,1480,1273,198,45,22,14,144,17,75,49,5,0,1140,9,48
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,23,2001,32.7,1900,1757,134,53,14,26,109,4,74,44,12,1,1518,9,46
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22,2002,6.0,189,169,20,2,0,0,0,0,0,0,0,0,158,0,0
ENG-Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,24,2000,19.6,803,791,11,1,7,1,25,9,1,1,0,0,663,1,24
ENG-Premier League,2425,Chelsea,Joshua Acheampong,ENG,DF,18,2006,1.9,124,121,3,2,0,0,0,1,0,0,0,0,104,0,2
ENG-Premier League,2425,Chelsea,João Félix,POR,"FW,MF",24,1999,4.1,199,193,5,2,2,1,0,3,0,0,0,0,171,1,5
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,"MF,FW",25,1998,2.9,152,147,4,1,0,1,2,0,2,0,0,1,127,1,2
ENG-Premier League,2425,Chelsea,Levi Colwill,ENG,DF,21,2003,35.0,2619,2418,197,91,3,7,13,7,0,0,0,0,2338,4,21
ENG-Premier League,2425,Chelsea,Malo Gusto,FRA,DF,21,2003,20.7,1385,1230,153,37,2,3,53,116,0,0,0,0,1198,2,26
ENG-Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26,1998,33.2,1916,1634,275,28,2,1,31,245,2,0,0,0,1680,7,23
ENG-Premier League,2425,Chelsea,Marc Guiu,ESP,FW,18,2006,0.8,16,14,2,0,0,0,0,0,0,0,0,0,11,0,0
ENG-Premier League,2425,Chelsea,Mathis Amougou,FRA,MF,18,2006,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0
ENG-Premier League,2425,Chelsea,Moisés Caicedo,ECU,"MF,DF",22,2001,37.2,2194,2116,74,47,12,13,10,27,0,0,0,0,1967,4,20
ENG-Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,FW,23,2001,1.7,42,40,2,0,1,0,7,0,2,0,0,0,28,0,1
ENG-Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23,2001,24.7,399,385,12,1,1,0,3,4,0,0,0,0,303,2,15
ENG-Premier League,2425,Chelsea,Noni Madueke,ENG,FW,22,2002,22.6,685,660,20,1,1,4,63,18,1,0,0,0,530,5,15
ENG-Premier League,2425,Chelsea,Pedro Neto,POR,FW,24,2000,25.2,895,807,86,14,0,5,149,13,56,16,15,5,702,2,26
ENG-Premier League,2425,Chelsea,Reece James,ENG,"DF,MF",24,1999,11.8,854,731,119,36,4,2,43,64,19,11,5,1,717,4,10
ENG-Premier League,2425,Chelsea,Renato Veiga,POR,"DF,MF",21,2003,2.0,139,127,12,5,0,0,0,7,0,0,0,0,118,0,1
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,26,1997,32.0,1249,1086,156,74,0,6,0,0,0,0,0,0,871,7,1
ENG-Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,20,2004,8.9,424,419,3,3,3,3,0,0,0,0,0,0,389,2,1
ENG-Premier League,2425,Chelsea,Shumaira Mheuka,ENG,MF,16,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Tosin Adarabioyo,ENG,DF,26,1997,15.7,1184,1142,39,23,2,3,0,4,0,0,0,0,1079,3,3
ENG-Premier League,2425,Chelsea,Trevoh Chalobah,ENG,DF,25,1999,10.1,677,654,23,11,1,2,3,10,0,0,0,0,609,0,3
ENG-Premier League,2425,Chelsea,Tyrique George,ENG,FW,18,2006,2.0,54,53,1,0,0,0,3,1,0,0,0,0,43,0,2
ENG-Premier League,2425,Chelsea,Wesley Fofana,FRA,DF,23,2000,13.0,803,758,44,23,0,0,1,20,0,0,0,0,724,1,4
ENG-Premier League,2425,Crystal Palace,Adam Wharton,ENG,MF,20,2004,14.6,725,678,40,14,5,1,39,0,26,19,1,0,548,7,12
ENG-Premier League,2425,Crystal Palace,Asher Agbinone,ENG,MF,18,2005,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0
ENG-Premier League,2425,Crystal Palace,Ben Chilwell,ENG,DF,27,1996,2.9,125,95,30,6,1,0,7,24,0,0,0,0,92,0,4
ENG-Premier League,2425,Crystal Palace,Caleb Kporha,ENG,DF,18,2006,0.1,7,6,1,0,0,0,2,1,0,0,0,0,5,0,0
ENG-Premier League,2425,Crystal Palace,Chadi Riad,MAR,DF,21,2003,1.0,82,82,0,0,0,1,0,0,0,0,0,0,70,0,2
