league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg+xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg+xag,per_90_minutes_npxg,per_90_minutes_npxg+xag,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,expected_npxg/sh,expected_g-xg,expected_np:g-xg
ENG-Premier League,2425,Manchester City,Kyle Walker,ENG,DF,34.0,1990.0,15,9,970,10.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.6,12,64,11,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,46,9,7,56.3,826,727,99,18,2,7,14,81,0,892,26,197,473,228,5,892,6,3,50.0,2,33.3,499,2284,1106,13,0,9,2,630,0.03,-0.1,-0.1
ENG-Premier League,2425,Manchester City,Manuel Akanji,SUI,DF,29.0,1995.0,26,23,2014,22.4,0,0,0,0,0,0,3,0,1.6,1.6,0.4,1.9,46,158,7,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,103,30,33,47.6,1744,1707,36,18,4,10,11,10,0,1881,119,559,920,405,19,1881,2,2,100.0,0,0.0,1254,6953,4234,64,0,5,5,1483,0.1,-1.6,-1.6
ENG-Premier League,2425,Manchester City,Mateo Kovačić,CRO,MF,30.0,1994.0,31,25,2198,24.4,6,2,8,6,0,0,5,1,1.9,1.9,3.6,5.5,56,164,16,0.25,0.08,0.33,0.25,0.33,0.08,0.15,0.23,0.08,0.23,114,10,9,52.6,1882,1845,33,32,15,8,0,0,0,2123,53,318,1199,627,17,2123,41,22,53.7,11,26.8,1445,8397,3961,78,3,19,29,1729,0.04,4.1,4.1
ENG-Premier League,2425,Manchester City,Matheus Nunes,POR,"DF,MF",25.0,1998.0,26,19,1674,18.6,1,6,7,1,0,0,4,0,1.2,1.2,4.4,5.6,63,79,175,0.05,0.32,0.38,0.05,0.38,0.07,0.23,0.3,0.07,0.3,70,14,19,42.4,1234,1103,130,13,3,8,45,109,7,1416,47,251,560,614,62,1416,41,19,46.3,14,34.1,866,4503,2315,37,24,32,13,1013,0.14,-0.2,-0.2
ENG-Premier League,2425,Manchester City,Nathan Aké,NED,DF,29.0,1995.0,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,24,13,10,56.5,542,514,26,13,0,0,1,7,0,596,51,205,331,61,5,596,1,1,100.0,0,0.0,403,2244,1501,12,1,4,3,449,0.07,-0.2,-0.2
ENG-Premier League,2425,Manchester City,Nico O’Reilly,ENG,DF,19.0,2005.0,9,6,528,5.9,2,0,2,2,0,0,0,0,1.3,1.3,0.4,1.6,16,17,26,0.34,0.0,0.34,0.34,0.34,0.22,0.06,0.28,0.22,0.28,31,6,9,40.0,353,311,41,5,1,0,8,36,0,419,14,71,223,130,18,419,15,9,60.0,6,40.0,249,1171,575,15,0,14,15,298,0.16,0.7,0.7
ENG-Premier League,2425,Manchester City,Nicolás González,ESP,MF,22.0,2002.0,11,9,760,8.4,1,0,1,1,0,0,3,0,0.5,0.5,0.1,0.5,9,50,11,0.12,0.0,0.12,0.12,0.12,0.06,0.01,0.06,0.06,0.06,31,16,12,57.1,625,603,21,19,1,0,1,2,0,713,18,116,439,161,10,713,6,1,16.7,3,50.0,425,1824,729,12,3,8,11,535,0.05,0.5,0.5
ENG-Premier League,2425,Manchester City,Omar Marmoush,EGY,"FW,MF",25.0,1999.0,16,14,1175,13.1,7,0,7,7,0,0,0,0,5.5,5.5,2.8,8.3,29,37,78,0.54,0.0,0.54,0.54,0.54,0.42,0.21,0.64,0.42,0.64,37,5,11,31.3,318,291,24,4,2,0,28,1,14,504,6,34,152,326,68,504,46,20,43.5,21,45.7,320,1975,960,20,15,45,19,361,0.11,1.5,1.5
ENG-Premier League,2425,Manchester City,Oscar Bobb,NOR,FW,21.0,2003.0,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.41,2,0,0,,15,14,1,0,0,0,0,0,0,15,0,2,6,7,0,15,2,2,100.0,0,0.0,10,67,32,0,0,0,0,13,,0.0,0.0
ENG-Premier League,2425,Manchester City,Phil Foden,ENG,"MF,FW",24.0,2000.0,28,20,1777,19.7,7,2,9,7,0,0,2,0,5.2,5.2,4.8,9.9,50,103,128,0.35,0.1,0.46,0.35,0.46,0.26,0.24,0.5,0.26,0.5,61,3,9,25.0,941,854,83,21,7,2,80,5,46,1139,13,85,382,681,83,1139,43,14,32.6,23,53.5,722,3720,1782,30,17,36,31,894,0.1,1.8,1.8
